date,time,close
26-11-2001,09:30:00,1075.75
26-11-2001,10:30:00,1077.34998
26-11-2001,11:30:00,1079.44995
26-11-2001,12:30:00,1081.40002
26-11-2001,13:30:00,1081.84998
26-11-2001,14:30:00,1081.09998
26-11-2001,15:30:00,1080.55005
27-11-2001,09:30:00,1095.75
27-11-2001,10:30:00,1085.55005
27-11-2001,11:30:00,1088.5
27-11-2001,12:30:00,1089.19995
27-11-2001,13:30:00,1084.40002
27-11-2001,14:30:00,1083.59998
27-11-2001,15:30:00,1075.19995
28-11-2001,09:30:00,1079.19995
28-11-2001,10:30:00,1079.30005
28-11-2001,11:30:00,1069.40002
28-11-2001,12:30:00,1073.19995
28-11-2001,13:30:00,1076.44995
28-11-2001,14:30:00,1072.84998
28-11-2001,15:30:00,1072.15002
29-11-2001,09:30:00,1065.94995
29-11-2001,10:30:00,1067.90002
29-11-2001,11:30:00,1068
29-11-2001,12:30:00,1068.19995
29-11-2001,13:30:00,1068.69995
29-11-2001,14:30:00,1066.44995
29-11-2001,15:30:00,1068.40002
03-12-2001,09:30:00,1067.34998
03-12-2001,10:30:00,1073.15002
03-12-2001,11:30:00,1069.69995
03-12-2001,12:30:00,1068.84998
03-12-2001,13:30:00,1071.65002
03-12-2001,14:30:00,1067.05005
03-12-2001,15:30:00,1063.69995
04-12-2001,09:30:00,1076.65002
04-12-2001,10:30:00,1075.65002
04-12-2001,11:30:00,1073.05005
04-12-2001,12:30:00,1074.90002
04-12-2001,13:30:00,1077.19995
04-12-2001,14:30:00,1079.90002
04-12-2001,15:30:00,1082.34998
05-12-2001,09:30:00,1096.19995
05-12-2001,10:30:00,1097
05-12-2001,11:30:00,1100.05005
05-12-2001,12:30:00,1097.75
05-12-2001,13:30:00,1099.25
05-12-2001,14:30:00,1100.05005
05-12-2001,15:30:00,1104.55005
06-12-2001,09:30:00,1124.15002
06-12-2001,10:30:00,1127.05005
06-12-2001,11:30:00,1121.15002
06-12-2001,12:30:00,1115.5
06-12-2001,13:30:00,1122.55005
06-12-2001,14:30:00,1115.84998
06-12-2001,15:30:00,1112.05005
