date,daily_mtm_per_lot,slippage,Portdolio
24-06-2015,888.75,-300,"? 11,02,318.75"
25-06-2015,3457.5,-300,"? 11,05,476.25"
26-06-2015,-2013.75,-300,"? 11,03,162.50"
29-06-2015,2808.75,-300,"? 11,05,671.25"
30-06-2015,1428.75,-300,"? 11,06,800.00"
01-07-2015,2261.25,-300,"? 11,08,761.25"
02-07-2015,-1623.75,-300,"? 11,06,837.50"
03-07-2015,0,-300,"? 11,06,537.50"
06-07-2015,7080,-300,"? 11,13,317.50"
07-07-2015,1012.5,-300,"? 11,14,030.00"
08-07-2015,5493.75,-300,"? 11,19,223.75"
09-07-2015,1016.25,-300,"? 11,19,940.00"
10-07-2015,-720,-300,"? 11,18,920.00"
13-07-2015,4001.25,-300,"? 11,22,621.25"
14-07-2015,-3086.25,-300,"? 11,19,235.00"
15-07-2015,716.25,-300,"? 11,19,651.25"
16-07-2015,3116.25,-300,"? 11,22,467.50"
17-07-2015,0,-300,"? 11,22,167.50"
20-07-2015,-3971.25,-300,"? 11,17,896.25"
21-07-2015,1717.5,-300,"? 11,19,313.75"
22-07-2015,4620,-300,"? 11,23,633.75"
23-07-2015,2820,-300,"? 11,26,153.75"
24-07-2015,3161.25,-300,"? 11,29,015.00"
27-07-2015,5126.25,-300,"? 11,33,841.25"
28-07-2015,-2538.75,-300,"? 11,31,002.50"
29-07-2015,277.5,-300,"? 11,30,980.00"
30-07-2015,-1706.25,-300,"? 11,28,973.75"
31-07-2015,3881.25,-300,"? 11,32,555.00"
03-08-2015,-5231.25,-300,"? 11,27,023.75"
04-08-2015,-7758.75,-300,"? 11,18,965.00"
05-08-2015,-1320,-300,"? 11,17,345.00"
06-08-2015,-2100,-300,"? 11,14,945.00"
07-08-2015,626.25,-300,"? 11,15,271.25"
10-08-2015,1406.25,-300,"? 11,16,377.50"
11-08-2015,2580,-300,"? 11,18,657.50"
12-08-2015,-386.25,-300,"? 11,17,971.25"
13-08-2015,393.75,-300,"? 11,18,065.00"
14-08-2015,8493.75,-300,"? 11,26,258.75"
17-08-2015,0,-300,"? 11,25,958.75"
18-08-2015,2553.75,-300,"? 11,28,212.50"
19-08-2015,2752.5,-300,"? 11,30,665.00"
20-08-2015,5726.25,-300,"? 11,36,091.25"
21-08-2015,1526.25,-300,"? 11,37,317.50"
24-08-2015,16440,-300,"? 11,53,457.50"
